
Attaching file /nfs/user/pmastra/DeepTau2p5/TauOfficial/nano/UL2018/DYJetsToLL_M-50-madgraphMLM/nano_0_skim_0.root as _file0...
Collection name='TObjArray', class='TObjArray', size=368
 OBJ: TLeafB	BeamSpot_type	BeamSpot_type
 OBJ: TLeafB	Electron_genPartFlav	Electron_genPartFlav[nElectron]
 OBJ: TLeafB	GenJet_hadronFlavour	GenJet_hadronFlavour[nGenJet]
 OBJ: TLeafB	Jet_nConstituents	Jet_nConstituents[nJet]
 OBJ: TLeafB	LHE_Nb	LHE_Nb
 OBJ: TLeafB	LHE_Nc	LHE_Nc
 OBJ: TLeafB	LHE_Nglu	LHE_Nglu
 OBJ: TLeafB	LHE_Njets	LHE_Njets
 OBJ: TLeafB	LHE_NpLO	LHE_NpLO
 OBJ: TLeafB	LHE_NpNLO	LHE_NpNLO
 OBJ: TLeafB	LHE_Nuds	LHE_Nuds
 OBJ: TLeafB	Muon_genPartFlav	Muon_genPartFlav[nMuon]
 OBJ: TLeafB	Muon_highPtId	Muon_highPtId[nMuon]
 OBJ: TLeafB	Muon_mvaId	Muon_mvaId[nMuon]
 OBJ: TLeafB	Muon_tkIsoId	Muon_tkIsoId[nMuon]
 OBJ: TLeafB	Tau_genPartFlav	Tau_genPartFlav[nTau]
 OBJ: TLeafB	Tau_idAntiMu	Tau_idAntiMu[nTau]
 OBJ: TLeafB	Tau_idDeepTau2017v2p1VSe	Tau_idDeepTau2017v2p1VSe[nTau]
 OBJ: TLeafB	Tau_idDeepTau2017v2p1VSjet	Tau_idDeepTau2017v2p1VSjet[nTau]
 OBJ: TLeafB	Tau_idDeepTau2017v2p1VSmu	Tau_idDeepTau2017v2p1VSmu[nTau]
 OBJ: TLeafB	Tau_idDeepTau2018v2p5VSe	Tau_idDeepTau2018v2p5VSe[nTau]
 OBJ: TLeafB	Tau_idDeepTau2018v2p5VSjet	Tau_idDeepTau2018v2p5VSjet[nTau]
 OBJ: TLeafB	Tau_idDeepTau2018v2p5VSmu	Tau_idDeepTau2018v2p5VSmu[nTau]
 OBJ: TLeafF	BeamSpot_sigmaZError	BeamSpot_sigmaZError
 OBJ: TLeafF	BeamSpot_sigmaZ	BeamSpot_sigmaZ
 OBJ: TLeafF	BeamSpot_zError	BeamSpot_zError
 OBJ: TLeafF	BeamSpot_z	BeamSpot_z
 OBJ: TLeafF	CaloMET_phi	CaloMET_phi
 OBJ: TLeafF	CaloMET_pt	CaloMET_pt
 OBJ: TLeafF	CaloMET_sumEt	CaloMET_sumEt
 OBJ: TLeafF	ChsMET_phi	ChsMET_phi
 OBJ: TLeafF	ChsMET_pt	ChsMET_pt
 OBJ: TLeafF	ChsMET_sumEt	ChsMET_sumEt
 OBJ: TLeafF	DeepMETResolutionTune_phi	DeepMETResolutionTune_phi
 OBJ: TLeafF	DeepMETResolutionTune_pt	DeepMETResolutionTune_pt
 OBJ: TLeafF	DeepMETResponseTune_phi	DeepMETResponseTune_phi
 OBJ: TLeafF	DeepMETResponseTune_pt	DeepMETResponseTune_pt
 OBJ: TLeafF	Electron_dEscaleDown	Electron_dEscaleDown[nElectron]
 OBJ: TLeafF	Electron_dEscaleUp	Electron_dEscaleUp[nElectron]
 OBJ: TLeafF	Electron_dEsigmaDown	Electron_dEsigmaDown[nElectron]
 OBJ: TLeafF	Electron_dEsigmaUp	Electron_dEsigmaUp[nElectron]
 OBJ: TLeafF	Electron_dxy	Electron_dxy[nElectron]
 OBJ: TLeafF	Electron_dz	Electron_dz[nElectron]
 OBJ: TLeafF	Electron_eCorr	Electron_eCorr[nElectron]
 OBJ: TLeafF	Electron_eta	Electron_eta[nElectron]
 OBJ: TLeafF	Electron_mass	Electron_mass[nElectron]
 OBJ: TLeafF	Electron_pfRelIso03_all	Electron_pfRelIso03_all[nElectron]
 OBJ: TLeafF	Electron_pfRelIso03_chg	Electron_pfRelIso03_chg[nElectron]
 OBJ: TLeafF	Electron_phi	Electron_phi[nElectron]
 OBJ: TLeafF	Electron_pt	Electron_pt[nElectron]
 OBJ: TLeafF	GenJet_eta	GenJet_eta[nGenJet]
 OBJ: TLeafF	GenJet_mass	GenJet_mass[nGenJet]
 OBJ: TLeafF	GenJet_phi	GenJet_phi[nGenJet]
 OBJ: TLeafF	GenJet_pt	GenJet_pt[nGenJet]
 OBJ: TLeafF	GenMET_phi	GenMET_phi
 OBJ: TLeafF	GenMET_pt	GenMET_pt
 OBJ: TLeafF	GenPart_eta	GenPart_eta[nGenPart]
 OBJ: TLeafF	GenPart_mass	GenPart_mass[nGenPart]
 OBJ: TLeafF	GenPart_phi	GenPart_phi[nGenPart]
 OBJ: TLeafF	GenPart_pt	GenPart_pt[nGenPart]
 OBJ: TLeafF	GenVisTau_eta	GenVisTau_eta[nGenVisTau]
 OBJ: TLeafF	GenVisTau_mass	GenVisTau_mass[nGenVisTau]
 OBJ: TLeafF	GenVisTau_phi	GenVisTau_phi[nGenVisTau]
 OBJ: TLeafF	GenVisTau_pt	GenVisTau_pt[nGenVisTau]
 OBJ: TLeafF	GenVtx_t0	GenVtx_t0
 OBJ: TLeafF	GenVtx_x	GenVtx_x
 OBJ: TLeafF	GenVtx_y	GenVtx_y
 OBJ: TLeafF	GenVtx_z	GenVtx_z
 OBJ: TLeafF	Generator_binvar	Generator_binvar
 OBJ: TLeafF	Generator_scalePDF	Generator_scalePDF
 OBJ: TLeafF	Generator_weight	Generator_weight
 OBJ: TLeafF	Generator_x1	Generator_x1
 OBJ: TLeafF	Generator_x2	Generator_x2
 OBJ: TLeafF	Generator_xpdf1	Generator_xpdf1
 OBJ: TLeafF	Generator_xpdf2	Generator_xpdf2
 OBJ: TLeafF	Jet_area	Jet_area[nJet]
 OBJ: TLeafF	Jet_btagDeepFlavB	Jet_btagDeepFlavB[nJet]
 OBJ: TLeafF	Jet_eta	Jet_eta[nJet]
 OBJ: TLeafF	Jet_mass	Jet_mass[nJet]
 OBJ: TLeafF	Jet_phi	Jet_phi[nJet]
 OBJ: TLeafF	Jet_pt	Jet_pt[nJet]
 OBJ: TLeafF	Jet_rawFactor	Jet_rawFactor[nJet]
 OBJ: TLeafF	L1PreFiringWeight_Dn	L1PreFiringWeight_Dn
 OBJ: TLeafF	L1PreFiringWeight_ECAL_Dn	L1PreFiringWeight_ECAL_Dn
 OBJ: TLeafF	L1PreFiringWeight_ECAL_Nom	L1PreFiringWeight_ECAL_Nom
